Date,Close,High,Low,Open,Volume
17-01-2025,1261.411987,1269.928024,1246.322352,1253.892094,14117603
20-01-2025,1297.169189,1320.725133,1279.888233,1316.990051,29366277
21-01-2025,1300.256836,1310.764916,1295.07757,1310.764916,14040244
22-01-2025,1268.633179,1307.776892,1265.147102,1305.286837,14562976
23-01-2025,1272.019653,1277.796629,1263.653044,1273.214953,10273590
24-01-2025,1258.623169,1272.268621,1256.581275,1264.947884,8720682
27-01-2025,1241.342285,1267.936024,1238.553375,1260.96387,14235970
28-01-2025,1224.459595,1235.515414,1215.146814,1234.170809,9536019
29-01-2025,1229.489624,1239.798428,1213.652849,1233.075279,10568025
30-01-2025,1230.585205,1237.806365,1223.16489,1231.083216,5928156
31-01-2025,1248.06543,1251.999668,1227.497551,1230.635044,9269259
01-02-2025,1260.067383,1261.959849,1244.031453,1250.854179,6584612
03-02-2025,1259.569336,1265.49574,1236.063242,1260.067347,7118453
04-02-2025,1240.943848,1251.003646,1232.627088,1246.023536,9252345
05-02-2025,1280.087402,1283.673179,1241.640978,1243.085283,16691069
06-02-2025,1273.115234,1285.366353,1271.621201,1277.547605,10112028
07-02-2025,1276.452026,1282.87632,1265.296507,1268.633156,9956001
10-02-2025,1261.661011,1278.593385,1256.979756,1271.073492,8764283
11-02-2025,1248.662964,1261.461822,1240.59521,1259.469778,6970972
12-02-2025,1229.937744,1259.519671,1225.20664,1259.519671,8859714
13-02-2025,1211.710571,1222.019374,1188.602789,1214.598938,21131654
14-02-2025,1211.262329,1223.115015,1207.178663,1212.208623,8511216
17-02-2025,1212.407715,1219.130863,1200.654607,1214.150753,10298145
18-02-2025,1220.027344,1222.616977,1199.708471,1206.282192,8166683
19-02-2025,1220.525391,1225.00749,1211.262337,1219.97753,6673250
20-02-2025,1222.567139,1227.846104,1212.706618,1214.648813,6217338
21-02-2025,1228.095093,1234.419808,1217.138851,1219.081045,7795582
24-02-2025,1223.264404,1235.06724,1217.288272,1223.812143,6904025
25-02-2025,1209.718506,1218.383848,1205.684568,1211.71055,7172498
27-02-2025,1199.210449,1216.142823,1196.720394,1206.182603,11552182
28-02-2025,1202.298096,1210.166694,1195.873803,1207.975494,11509215
03-03-2025,1195.325928,1212.507307,1188.553051,1197.218394,23007298
04-03-2025,1166.590698,1201.650622,1151.401364,1199.210417,17944938
05-03-2025,1157.277954,1169.329796,1154.937327,1157.576688,11377373
06-03-2025,1170.923462,1178.294049,1152.397477,1156.381565,8664095
07-03-2025,1204.788208,1209.120879,1180.435518,1192.238355,14468014
10-03-2025,1244.828369,1249.808479,1207.178688,1211.162776,16474965
11-03-2025,1233.473633,1252.995639,1230.485567,1240.047354,11931051
12-03-2025,1242.338257,1244.529457,1224.858023,1235.067248,10089838
13-03-2025,1252.049438,1257.97572,1239.051303,1252.995611,11977555
17-03-2025,1242.935913,1259.121271,1238.901975,1255.037605,9505270
18-03-2025,1233.921753,1252.398009,1228.194627,1237.208674,16640917
19-03-2025,1233.921753,1233.921753,1233.921753,1233.921753,0
20-03-2025,1242.188843,1248.264553,1233.872084,1236.113133,16162399
21-03-2025,1264.101318,1267.935979,1245.077323,1246.870089,15971477
24-03-2025,1271.272583,1275.904109,1265.047446,1269.927978,21780769
25-03-2025,1296.920166,1300.804676,1279.141198,1285.864347,20299319
26-03-2025,1280.336426,1302.497915,1277.497787,1302.497915,13713899
27-03-2025,1267.98584,1288.653296,1263.702897,1285.864386,12074747
28-03-2025,1273.115234,1279.888232,1266.24278,1273.065506,15028056
01-04-2025,1270.027588,1290.595466,1263.951878,1274.90812,18147129
02-04-2025,1247.617065,1272.816469,1244.330266,1259.569329,12099648
03-04-2025,1246.172974,1250.555495,1238.951814,1242.587319,10142590
04-04-2025,1243.732666,1246.820432,1228.145018,1228.145018,7434366
07-04-2025,1199.907593,1240.495487,1188.403612,1236.162816,17908652
08-04-2025,1161.062744,1166.590715,1110.415052,1127.696009,22156106
09-04-2025,1177.497192,1191.839934,1158.672473,1167.337816,19555040
11-04-2025,1180.634644,1185.067014,1163.353686,1164.847719,10223104
15-04-2025,1214.100952,1217.786306,1190.395702,1190.395702,11224242
16-04-2025,1235.16687,1246.023534,1232.178804,1246.023534,13378535
17-04-2025,1234.370117,1235.963728,1224.111042,1229.19073,8248464
21-04-2025,1269.430054,1275.107331,1222.716597,1235.26645,15398401
22-04-2025,1290.346436,1295.724978,1261.95981,1264.947876,10429964
23-04-2025,1286.063599,1298.713151,1281.183188,1294.828641,13051707
